id;latitude;longitude
6162375747;53,61652;9,941389
6174872554;53,64146;10,0823
6187897355;53,55524;9,958857
6188126410;53,60508;10,03879
6203005819;53,61062;10,11063
6236928096;53,56488;10,06044
6264473754;53,63984;10,08082
6311700505;53,57066;9,844538
6322883301;53,65381;10,0661
6326495783;53,46533;9,814299
6326495784;53,46534;9,814415
6326495785;53,46526;9,814357
6326495786;53,46516;9,813899
6326495787;53,46542;9,813585
6326499885;53,55752;9,906031
6329758542;53,46547;9,81352
6339636871;53,60917;10,11136
6359628904;53,5961;9,954629
6384146521;53,56643;9,904815
6386685657;53,56366;9,900818
6387502246;53,56236;9,911104
6387638985;53,56454;9,908489
6393811853;53,5798;10,07306
6402835116;53,58974;9,957766
6402835118;53,58979;9,957776
6402835119;53,58989;9,957796
6402837593;53,58977;9,955671
6402837594;53,5898;9,955684
6402837595;53,58981;9,955572
6402837670;53,59087;9,956054
6402837671;53,59087;9,956021
6402837672;53,59089;9,956024
6404050067;53,58946;9,956288
6404050402;53,58945;9,956502
6404050403;53,58948;9,956659
6409881983;53,57395;9,952168
6468268473;53,54276;10,00618
6479253739;53,54717;9,998635
6482723337;53,49316;10,20488
6488231106;53,55459;9,973952
6494393060;53,55465;9,982064
6515253351;53,66892;10,06197
6544734399;53,58108;9,968067
6699366625;53,60105;10,03972
6699366626;53,60102;10,03948
6699366627;53,60112;10,03957
6721535910;53,56246;9,90317
6744606257;53,58881;9,956517
6744606258;53,58885;9,956499
6744844315;53,56128;9,938572
6744844320;53,56054;9,939635
6744844321;53,5605;9,939614
6744844322;53,56063;9,939308
6744844323;53,56056;9,939502
6750505013;53,4855;10,22133
6750505014;53,48539;10,2213
6750505015;53,48539;10,22159
6750505018;53,48543;10,22182
6750505019;53,48538;10,22171
6750505020;53,48545;10,22171
6750505021;53,48541;10,22167
6750505022;53,48537;10,22174
6750505032;53,48554;10,22181
6750505033;53,48552;10,22169
6750505034;53,48551;10,22163
6750564769;53,48223;10,22569
6750564771;53,48217;10,22576
6750564772;53,48216;10,2258
6750564773;53,48215;10,22583
6750564781;53,48224;10,22611
6751317854;53,52398;10,02178
6791563028;53,5869;9,92977
6791563029;53,58688;9,92985
6821097284;53,57579;9,950761
6821128485;53,57568;9,9508
6821128486;53,57563;9,950743
6821128487;53,57572;9,950772
6821128488;53,57567;9,95001
6821128489;53,57574;9,950025
6821128492;53,57574;9,950164
6821128493;53,57573;9,950228
6821128494;53,57571;9,95018
6832650785;53,66665;10,09534
6873735299;53,55969;9,93868
6900711152;53,58704;9,930453
6915009375;53,4647;9,814591
6915009377;53,46477;9,814415
6915009379;53,46492;9,815152
6915009685;53,46486;9,814604
6915009687;53,46486;9,814892
6915009689;53,46495;9,815086
7016152611;53,62859;9,910808
7049315755;53,56084;9,981999
7049315756;53,56096;9,981477
7049315757;53,56087;9,981319
7049315758;53,5606;9,98235
7049315759;53,56059;9,982048
7049315760;53,56063;9,981806
7049315761;53,56069;9,982018
7049315762;53,56071;9,981852
